Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
Álex Abrines,2017,2019,G-F,6-6,200.0,"August 1, 1993",
Precious Achiuwa,2021,2024,F,6-8,225.0,"September 19, 1999",Memphis
Quincy Acy,2013,2019,F-C,6-7,240.0,"October 6, 1990",Baylor
Jaylen Adams,2019,2021,G,6-0,225.0,"May 4, 1996",St. Bonaventure
Jordan Adams,2015,2016,G,6-5,209.0,"July 8, 1994",UCLA
Steven Adams,2014,2023,C,6-11,265.0,"July 20, 1993",Pitt
Bam Adebayo,2018,2024,C-F,6-9,255.0,"July 18, 1997",Kentucky
Deng Adel,2019,2019,F,6-7,200.0,"February 1, 1997",Louisville
Jeff Adrien,2011,2015,F,6-7,245.0,"February 10, 1986",UConn
Arron Afflalo,2008,2018,G-F,6-5,210.0,"October 15, 1985",UCLA
Ochai Agbaji,2023,2024,G,6-5,215.0,"April 20, 2000",Kansas
Maurice Ager,2007,2011,G,6-5,202.0,"February 9, 1984",Michigan State
Blake Ahearn,2008,2012,G,6-2,190.0,"May 27, 1984",Missouri State
Alexis Ajinça,2009,2017,C-F,7-2,248.0,"May 6, 1988",
Josh Akognon,2013,2013,G,5-11,185.0,"February 10, 1986","Washington State, Cal State Fullerton"
DeVaughn Akoon-Purcell,2019,2019,G,6-6,200.0,"June 5, 1993",Illinois State
Solomon Alabi,2011,2012,C,7-1,251.0,"March 21, 1988",Florida State
Santi Aldama,2022,2024,F,6-11,224.0,"January 10, 2001",Loyola (MD)
Furkan Aldemir,2015,2015,F-C,6-10,240.0,"August 9, 1991",
Cole Aldrich,2011,2018,C,6-11,250.0,"October 31, 1988",Kansas
LaMarcus Aldridge,2007,2022,F-C,6-11,250.0,"July 19, 1985",Texas
Cliff Alexander,2016,2016,F,6-8,245.0,"November 16, 1995",Kansas
Kyle Alexander,2020,2020,F,6-11,220.0,"October 21, 1996",Tennessee
Ty-Shon Alexander,2021,2021,G,6-3,195.0,"July 16, 1998",Creighton
Nickeil Alexander-Walker,2020,2024,G,6-5,205.0,"September 2, 1998",Virginia Tech
Rawle Alkins,2019,2019,G,6-5,225.0,"October 29, 1997",Arizona
Grayson Allen,2019,2024,G,6-4,198.0,"October 8, 1995",Duke
Jarrett Allen,2018,2024,C-F,6-11,243.0,"April 21, 1998",Texas
Kadeem Allen,2018,2020,G,6-1,200.0,"January 15, 1993",Arizona
Lavoy Allen,2012,2017,F-C,6-9,260.0,"February 4, 1989",Temple
Malik Allen,2002,2011,F-C,6-10,255.0,"June 27, 1978",Villanova
Ray Allen*,1997,2014,G,6-5,205.0,"July 20, 1975",UConn
Tony Allen,2005,2018,G-F,6-4,213.0,"January 11, 1982","Butler County Community College, Oklahoma State"
Morris Almond,2008,2012,G,6-6,225.0,"February 2, 1985",Rice University
Jose Alvarado,2022,2024,G,6-0,179.0,"April 12, 1998",Georgia Tech
Al-Farouq Aminu,2011,2021,F,6-8,220.0,"September 21, 1990",Wake Forest
Lou Amundson,2007,2016,F-C,6-9,220.0,"December 7, 1982",UNLV
Chris Andersen,2002,2017,C-F,6-10,245.0,"July 7, 1978",Blinn College
David Andersen,2010,2011,C,6-11,245.0,"June 23, 1980",
Alan Anderson,2006,2017,G-F,6-6,220.0,"October 16, 1982",Michigan State
James Anderson,2011,2016,G-F,6-6,213.0,"March 25, 1989",Oklahoma State
Justin Anderson,2016,2022,G,6-6,230.0,"November 19, 1993",Virginia
Kyle Anderson,2015,2024,F-G,6-9,230.0,"September 20, 1993",UCLA
Ryan Anderson,2009,2020,F,6-9,240.0,"May 6, 1988",California
Ike Anigbogu,2018,2019,F-C,6-10,250.0,"October 17, 1998",UCLA
Giannis Antetokounmpo,2014,2024,F-G,6-11,242.0,"December 6, 1994",
Kostas Antetokounmpo,2019,2021,F,6-10,200.0,"November 20, 1997",Dayton
Thanasis Antetokounmpo,2016,2024,F,6-7,219.0,"July 18, 1992",
Carmelo Anthony,2004,2022,F,6-7,238.0,"May 29, 1984",Syracuse
Cole Anthony,2021,2024,G,6-2,185.0,"May 15, 2000",UNC
Joel Anthony,2008,2017,C,6-9,245.0,"August 9, 1982",UNLV
Pero Antić,2014,2015,C-F,6-11,260.0,"July 29, 1982",
OG Anunoby,2018,2024,F,6-7,232.0,"July 17, 1997",Indiana
Keith Appling,2016,2016,G,6-1,185.0,"February 13, 1992",Michigan State
Ryan Arcidiacono,2018,2024,G,6-3,195.0,"March 26, 1994",Villanova
Gilbert Arenas,2002,2012,G,6-4,191.0,"January 6, 1982",Arizona
Trevor Ariza,2005,2022,F,6-8,215.0,"June 30, 1985",UCLA
Hilton Armstrong,2007,2014,F-C,6-11,235.0,"November 11, 1984",UConn
Carlos Arroyo,2002,2011,G,6-2,202.0,"July 30, 1979",Florida International University
Darrell Arthur,2009,2018,F,6-9,235.0,"March 25, 1988",Kansas
Jamel Artis,2018,2018,G-F,6-7,213.0,"January 12, 1993",Pitt
Ömer Aşık,2011,2018,C,7-0,255.0,"July 4, 1986",
D.J. Augustin,2009,2022,G,5-11,183.0,"November 10, 1987",Texas
Deni Avdija,2021,2024,G-F,6-9,210.0,"January 3, 2001",
Joel Ayayi,2022,2022,G,6-5,180.0,"March 5, 2000",Gonzaga
Gustavo Ayón,2012,2014,C,6-10,250.0,"April 1, 1985",
Jeff Ayres,2010,2016,F,6-9,240.0,"April 29, 1987",Arizona State
Deandre Ayton,2019,2024,C,7-0,250.0,"July 23, 1998",Arizona
Kelenna Azubuike,2007,2012,G,6-5,220.0,"December 16, 1983",Kentucky
Udoka Azubuike,2021,2024,C,6-10,280.0,"September 17, 1999",Kansas
Chris Babb,2014,2014,G,6-5,225.0,"February 14, 1990","Penn State, Iowa State"
Luke Babbitt,2011,2018,F,6-9,225.0,"June 20, 1989",Nevada
Dwayne Bacon,2018,2021,G,6-6,221.0,"August 30, 1995",Florida State
Ibou Badji,2024,2024,C,7-1,240.0,"October 13, 2002",
Marvin Bagley III,2019,2024,F-C,6-10,235.0,"March 14, 1999",Duke
Amari Bailey,2024,2024,G,6-5,185.0,"February 17, 2004",UCLA
Cameron Bairstow,2015,2016,F-C,6-9,250.0,"December 7, 1990",New Mexico
Ron Baker,2017,2019,G,6-4,220.0,"March 30, 1993",Wichita State
Patrick Baldwin Jr.,2023,2024,G-F,6-9,220.0,"November 18, 2002",UW-Milwaukee
Wade Baldwin,2017,2019,G,6-4,200.0,"March 29, 1996",Vanderbilt
Renaldo Balkman,2007,2012,F,6-8,208.0,"July 14, 1984",South Carolina
LaMelo Ball,2021,2024,G,6-7,180.0,"August 22, 2001",
Lonzo Ball,2018,2022,G,6-6,190.0,"October 27, 1997",UCLA
Mo Bamba,2019,2024,C,7-0,231.0,"May 12, 1998",Texas
Paolo Banchero,2023,2024,F,6-10,250.0,"November 12, 2002",Duke
Desmond Bane,2021,2024,G,6-5,215.0,"June 25, 1998",TCU
Marcus Banks,2004,2011,G,6-2,200.0,"November 19, 1981",UNLV
Dalano Banton,2022,2024,G-F,6-9,204.0,"November 7, 1999",Nebraska
Cat Barber,2022,2022,G,6-2,190.0,"July 25, 1994",NC State
Leandro Barbosa,2004,2017,G,6-3,194.0,"November 28, 1982",
J.J. Barea,2007,2020,G,5-10,180.0,"June 26, 1984",Northeastern University
Andrea Bargnani,2007,2016,F-C,7-0,245.0,"October 26, 1985",
Dominick Barlow,2023,2024,F,6-9,221.0,"May 26, 2003",
Harrison Barnes,2013,2024,F,6-8,225.0,"May 30, 1992",UNC
Matt Barnes,2004,2017,F,6-7,226.0,"March 9, 1980",UCLA
Scottie Barnes,2022,2024,G-F,6-7,227.0,"August 1, 2001",Florida State
RJ Barrett,2020,2024,G-F,6-6,214.0,"June 14, 2000",Duke
Earl Barron,2006,2015,C,7-0,250.0,"August 14, 1981",Memphis
Will Barton,2013,2023,G,6-5,181.0,"January 6, 1991",Memphis
Brandon Bass,2006,2017,F,6-8,250.0,"April 30, 1985",LSU
Paris Bass,2022,2022,F,6-8,200.0,"August 29, 1995",Detroit Mercy
Charles Bassey,2022,2024,C,6-10,235.0,"October 28, 2000",Western Kentucky
Emoni Bates,2024,2024,G,6-10,170.0,"January 28, 2004","Memphis, Eastern Michigan"
Keita Bates-Diop,2019,2024,F,6-8,229.0,"January 23, 1996",Ohio State
Tony Battie,1998,2012,C-F,6-11,230.0,"February 11, 1976",Texas Tech
Shane Battier,2002,2014,F,6-8,220.0,"September 9, 1978",Duke
Nicolas Batum,2009,2024,F-G,6-8,230.0,"December 14, 1988",
Jerryd Bayless,2009,2019,G,6-3,200.0,"August 20, 1988",Arizona
Aron Baynes,2013,2021,C,6-10,260.0,"December 9, 1986",Washington State
Kent Bazemore,2013,2022,G-F,6-4,195.0,"July 1, 1989",Old Dominion
Darius Bazley,2020,2024,F,6-8,208.0,"June 12, 2000",
Bradley Beal,2013,2024,G,6-4,207.0,"June 28, 1993",Florida
Malik Beasley,2017,2024,G,6-4,187.0,"November 26, 1996",Florida State
Michael Beasley,2009,2019,F,6-9,235.0,"January 9, 1989",Kansas State
Rodrigue Beaubois,2010,2013,G,6-0,170.0,"February 24, 1988",
MarJon Beauchamp,2023,2024,G,6-6,199.0,"October 12, 2000",Yakima Valley Community College
Marco Belinelli,2008,2020,G-F,6-5,220.0,"March 25, 1986",
Charlie Bell,2002,2011,G,6-3,200.0,"March 12, 1979",Michigan State
Jordan Bell,2018,2022,F,6-8,216.0,"January 7, 1995",Oregon
Raja Bell,2001,2012,G,6-5,204.0,"September 19, 1976","Boston University, Florida International University"
DeAndre' Bembry,2017,2022,F,6-5,210.0,"July 4, 1994",Saint Joseph's
Dragan Bender,2017,2020,F,7-0,225.0,"November 17, 1997",
